,molecule_chembl_id,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors,pIC50
84,CHEMBL111964,O=C1NCN(c2ccccc2)C12CCN(Cc1cccc(Oc3ccccc3)c1)CC2,413.52100000000013,4.407400000000004,1.0,4.0,6.269217724333611
85,CHEMBL115934,O=C1NCN(c2ccccc2)C12CCN(Cc1ccc3nsnc3c1)CC2,379.4890000000001,2.6198000000000006,1.0,6.0,6.910094888560602
86,CHEMBL111909,CNC(=O)CN1CN(c2ccccc2)C2(CCN(Cc3cc4c(cc3Cl)OCO4)CC2)C1=O,470.9570000000004,2.4555999999999996,1.0,6.0,5.673664139071248
87,CHEMBL113282,O=C(OCCc1ccc(F)cc1)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,496.5730000000002,6.012900000000006,0.0,3.0,5.581698708680254
88,CHEMBL112170,Cc1ccc(CN2CCC(n3c(O)nc4ccccc43)CC2)c(Cl)c1,355.86900000000014,4.5408200000000045,1.0,4.0,6.318758762624412
89,CHEMBL305187,O=C1NCN(c2ccccc2)C12CCN(Cc1ccc3c(c1)OCO3)CC2,365.43300000000016,2.3438,1.0,5.0,6.254144804826271
90,CHEMBL325063,O=C(/C=C/c1ccccc1)N(c1ccccc1)C1CCN(Cc2ccccc2)CC1.O=C(O)/C=C/C(=O)O,512.6060000000003,5.109400000000003,2.0,4.0,5.0
91,CHEMBL112957,C(=C/c1ccccc1)\CN(c1ccccc1)C1CCN(Cc2ccccc2)CC1.O=C(O)/C=C/C(=O)O,498.6230000000003,5.582800000000003,2.0,4.0,5.0
92,CHEMBL320801,O=C(/C=C/c1ccccc1)NC1CCN(Cc2ccccc2)CC1.O=C(O)/C=C/C(=O)O,436.5080000000002,3.192400000000001,3.0,4.0,5.327902142064283
93,CHEMBL113449,CN(C/C=C/c1ccccc1)C1CCN(Cc2ccccc2)CC1.O=C(O)/C=C/C(=O)O,436.5520000000002,4.008000000000003,2.0,4.0,5.0
94,CHEMBL2373204,CN(C(=O)C#Cc1ccccc1)C1CCN(Cc2ccccc2)CC1.O=C(O)/C=C/C(=O)O,448.5190000000002,2.8729000000000005,2.0,4.0,5.309803919971486
95,CHEMBL2373207,C(#Cc1ccccc1)CNC1CCN(Cc2ccccc2)CC1.O=C(O)/C=C/C(=O)O,420.5090000000002,3.004100000000001,3.0,4.0,5.0
96,CHEMBL42,C(=C/c1ccccc1)\CNC1CCN(Cc2ccccc2)CC1.O=C(O)/C=C/C(=O)O,422.52500000000015,3.6658000000000017,3.0,4.0,5.0
97,CHEMBL359002,C(#Cc1ccccc1)CN(c1ccccc1)C1CCN(Cc2ccccc2)CC1.O=C(O)/C=C/C(=O)O,496.60700000000026,4.921100000000003,2.0,4.0,6.050609993355087
98,CHEMBL356358,O=C(C#Cc1ccccc1)N(c1ccccc1)C1CCN(Cc2ccccc2)CC1.O=C(O)/C=C/C(=O)O,510.5900000000003,4.447700000000003,2.0,4.0,5.823908740944319
99,CHEMBL2373205,CC(C(O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1,325.45200000000006,3.7688000000000033,2.0,3.0,6.0
100,CHEMBL144811,CN(C(=O)/C=C/c1ccccc1)C1CCN(Cc2ccccc2)CC1.O=C(O)/C=C/C(=O)O,450.5350000000002,3.534600000000001,2.0,4.0,5.1487416512809245
101,CHEMBL26929,CN(CC#Cc1ccccc1)C1CCN(Cc2ccccc2)CC1.O=C(O)/C=C/C(=O)O,434.5360000000002,3.346300000000001,2.0,4.0,5.3872161432802645
102,CHEMBL2373206,C(=C/c1ccccc1)\CN(C/C=C/c1ccccc1)C1CCN(Cc2ccccc2)CC1.O=C(O)/C=C/C(=O)O,538.6880000000004,6.091600000000004,2.0,4.0,5.0
103,CHEMBL424125,O=C(C#Cc1ccccc1)NC1CCN(Cc2ccccc2)CC1.O=C(O)/C=C/C(=O)O,434.4920000000002,2.5307000000000004,3.0,4.0,5.6020599913279625
104,CHEMBL2373210,COc1cccc(C(=O)NCCN2CCN(Cc3ccccc3OC)CC2)c1.Cl.Cl.O,474.4290000000001,2.2703000000000015,1.0,5.0,6.0
105,CHEMBL54,COc1cccc(C(=O)NCCN2CCN(Cc3ccc(Cl)cc3)CC2)c1.Cl.Cl.O,478.84800000000007,2.9151000000000025,1.0,4.0,6.0
106,CHEMBL286725,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,326.83100000000013,3.7227000000000023,1.0,4.0,6.638272163982407
107,CHEMBL357448,COc1ccccc1N1CCN(CCC(=O)NC2CCc3c(cccc3OC)C2)CC1,423.5570000000003,2.8896000000000015,1.0,5.0,6.118615343229427
108,CHEMBL26677,COc1ccccc1C(=O)NCCN1CCN(c2ccccc2OC)CC1,369.4650000000001,2.2558,1.0,5.0,6.0915149811213505
109,CHEMBL93403,COc1cccc(-c2csc(CCN3CCN(c4ccccc4OC)CC3)n2)c1.Cl,446.01600000000013,4.613800000000005,0.0,6.0,6.060480747381382
110,CHEMBL147483,COc1ccc(OC)c(C(=O)NCCN2CCN(c3ccccc3OC)CC2)c1,399.49100000000016,2.2643999999999993,1.0,6.0,6.6020599913279625
111,CHEMBL134423,COc1ccccc1N1CCN(CCCC2CCCc3c(OC)cccc32)CC1,394.55900000000014,4.726100000000005,0.0,4.0,7.698970004336019
