Name;RF;XGB;Mean;SD;CV
ZINC000003830943;6.27407051;5.4897466;5.881908555;0.392161955;0.066672569
ZINC000003875368;6.10274217;5.5115833;5.807162735;0.295579435;0.050899113
ZINC000148723177;6.045352795;5.9956527;6.020502748;0.024850048;0.00412757
ZINC000004641374;5.656947487;5.5711913;5.614069394;0.042878094;0.007637614
ZINC000252679615;6.597314424;5.80275;6.200032212;0.397282212;0.064077443
ZINC000253530025;6.126762916;5.8116326;5.969197758;0.157565158;0.026396371
ZINC000013512456;5.598110535;5.3423963;5.470253418;0.127857118;0.023373162
ZINC000022065398;6.126762916;5.8116326;5.969197758;0.157565158;0.026396371
ZINC000031274852;6.106381354;6.0703163;6.088348827;0.018032527;0.002961809
ZINC000040430143;6.803094037;6.1996484;6.501371219;0.301722819;0.046409105
ZINC000100013130;6.835851989;6.4736347;6.654743345;0.181108645;0.027214971
ZINC000002000707;6.089580382;5.697384;5.893482191;0.196098191;0.033273739
ZINC000003874498;6.249534234;5.5106235;5.880078867;0.369455367;0.062831703
ZINC000001530639;6.040918176;5.7170186;5.878968388;0.161949788;0.027547314
ZINC000242437514;5.908746505;5.204021;5.556383753;0.352362753;0.063415842
ZINC000003830391;5.98033501;5.8023224;5.891328705;0.089006305;0.015108019
ZINC000003873921;6.513609849;5.955243;6.234426425;0.279183425;0.044780932
ZINC000004217732;6.081561942;6.039919;6.060740471;0.020821471;0.003435467
ZINC000006745272;7.200935524;6.5025635;6.851749512;0.349186012;0.050963044
ZINC000253476025;6.701028478;6.755733;6.728380739;0.027352261;0.004065207
ZINC000018203737;5.852694125;5.714854;5.783774063;0.068920063;0.011916106
ZINC000203686879;6.024859165;5.9489837;5.986921433;0.037937732;0.006336768
ZINC000000020220;6.078844881;5.6279445;5.853394691;0.225450191;0.038516144
ZINC000000057435;6.486451745;5.765179;6.125815373;0.360636373;0.058871571
ZINC000000057534;6.537835145;6.6665688;6.602201973;0.064366828;0.009749297
ZINC000000968273;5.940461753;6.1917095;6.066085627;0.125623874;0.020709215
ZINC000003831490;6.388965378;5.8548384;6.121901889;0.267063489;0.043624268
ZINC000118912450;6.205604344;5.8347793;6.020191822;0.185412522;0.030798441
ZINC000003806413;5.797774924;5.1659245;5.481849712;0.315925212;0.057631133
ZINC000238809663;6.609096371;6.0008254;6.304960886;0.304135486;0.04823749
ZINC000000010164;5.930339641;5.583791;5.757065321;0.173274321;0.030097682
ZINC000012484958;5.978324501;5.3632703;5.670797401;0.307527101;0.054229957
ZINC000019632706;6.106978877;5.457195;5.782086939;0.324891939;0.05618939
ZINC000000591993;6.106978877;5.457195;5.782086939;0.324891939;0.05618939
ZINC000003920719;6.304381842;5.7266417;6.015511771;0.288870071;0.048020864
ZINC000004083606;6.468978828;6.303103;6.386040914;0.082937914;0.012987376
ZINC000005224188;5.618174566;5.187824;5.402999283;0.215175283;0.039825155
ZINC000013545636;6.138273371;5.7272654;5.932769386;0.205503986;0.034638796
ZINC000019796168;6.463330057;6.275321;6.369325529;0.094004529;0.014758946
ZINC000003782599;6.061923981;5.7828894;5.922406691;0.139517291;0.023557533
ZINC000000075126;6.455232639;5.646269;6.05075082;0.40448182;0.066848203
ZINC000003931840;7.17620819;6.8015404;6.988874295;0.187333895;0.026804588
ZINC000009302201;5.978324501;5.3632703;5.670797401;0.307527101;0.054229957
ZINC000013818943;6.255703846;5.329929;5.792816423;0.462887423;0.079907145
ZINC000022448983;6.976587;6.589699;6.783143;0.193444;0.028518343
ZINC000000968328;5.805761744;5.21586;5.510810872;0.294950872;0.053522227
ZINC000001530886;6.22934296;5.8205256;6.02493428;0.20440868;0.033927122
ZINC000002020233;6.480481317;5.824645;6.152563159;0.327918159;0.053297813
ZINC000003794711;5.968702171;5.3871884;5.677945286;0.290756886;0.051208117
ZINC000003806262;5.118702386;5.067914;5.093308193;0.025394193;0.004985795
ZINC000001280665;6.479195176;6.0490174;6.264106288;0.215088888;0.034336724
ZINC000003977978;6.632407823;6.1108413;6.371624562;0.260783262;0.040928849
ZINC000003875357;6.12455831;5.7198205;5.922189405;0.202368905;0.034171299
ZINC000013648755;6.990236116;6.182943;6.586589558;0.403646558;0.06128309
ZINC000000113446;5.723594828;5.3574653;5.540530064;0.183064764;0.03304102
